"Connection
Origin",,"Connection
Termination",,"Data
Type",Binned Strength
"Region
Side","Region
Abbr.","Region
Side","Region
Abbr.",,
one,MOB,one,MOB,,0
one,MOB,two,MOB,retro,0
left,MOB,left,AOB,antero,0
one,MOB,two,AOB,retro,0
one,MOB,one,AOA,antero,7
one,MOB,two,AOA,antero,0
one,MOB,one,TTv,antero,3
one,MOB,two,TTv,antero,0
one,MOB,one,TTd,antero,2
one,MOB,two,TTd,antero,0
one,MOB,one,PIR,antero,6
one,MOB,two,PIR,antero,0
one,MOB,one,COAa,antero,4
one,MOB,two,COAa,antero,0
left,MOB,left,COApm,antero,0
one,MOB,two,COApm,antero,0
one,MOB,one,COApl,antero,4
one,MOB,two,COApl,antero,0
one,MOB,one,NLOT,antero,4
one,MOB,two,NLOT,antero,0
one,MOB,one,PAA,antero,4
one,MOB,two,PAA,antero,0
left,MOB,left,TR,retro,4
left,MOB,right,TR,retro,0
one,MOB,one,IG,antero,2
one,MOB,two,IG,antero,0
one,MOB,one,FC,antero,0
one,MOB,two,FC,antero,0
one,MOB,one,DG,antero,0
one,MOB,two,DG,antero,0
one,MOB,one,CA3,antero,0
one,MOB,two,CA3,antero,0
one,MOB,one,CA2,antero,0
one,MOB,two,CA2,antero,0
one,MOB,one,CA1v,antero,0
one,MOB,two,CA1v,antero,0
one,MOB,one,CA1d,antero,0
one,MOB,two,CA1d,antero,0
one,MOB,one,SUBv,antero,0
one,MOB,two,SUBv,antero,0
one,MOB,one,SUBd,antero,0
one,MOB,two,SUBd,antero,0
one,MOB,one,PAR,retro,0
one,MOB,two,PAR,retro,0
one,MOB,one,PRE,retro,0
one,MOB,two,PRE,retro,0
one,MOB,one,POST,retro,0
one,MOB,two,POST,retro,0
one,MOB,one,ENTm,antero,2
one,MOB,two,ENTm,antero,0
one,MOB,one,ENTl,antero,3
one,MOB,two,ENTl,antero,0
one,MOB,one,ILA,antero,2
one,MOB,two,ILA,antero,0
one,MOB,one,PL,antero,0
one,MOB,two,PL,antero,0
one,MOB,one,ACAv,antero,0
one,MOB,two,ACAv,antero,0
one,MOB,one,ACAd,antero,0
one,MOB,two,ACAd,antero,0
one,MOB,one,RSPv,antero,0
one,MOB,two,RSPv,antero,0
one,MOB,one,RSPv.a,antero,0
one,MOB,two,RSPv.a,antero,0
one,MOB,one,RSPv.b/c,antero,0
one,MOB,two,RSPv.b/c,antero,0
one,MOB,one,RSPd,antero,0
one,MOB,two,RSPd,antero,0
one,MOB,one,RSPagl,antero,0
one,MOB,two,RSPagl,antero,0
one,MOB,one,AIv,antero,0
one,MOB,two,AIv,antero,0
one,MOB,one,AId,antero,0
one,MOB,two,AId,antero,0
one,MOB,one,AIp,retro,2
one,MOB,two,AIp,antero,0
one,MOB,one,GU,antero,0
one,MOB,two,GU,antero,0
one,MOB,one,VISC,antero,0
one,MOB,two,VISC,antero,0
one,MOB,one,ORBv,antero,0
one,MOB,two,ORBv,antero,0
one,MOB,one,ORBvl,antero,0
one,MOB,two,ORBvl,antero,0
one,MOB,one,ORBm,antero,0
one,MOB,two,ORBm,antero,0
one,MOB,one,ORBl,antero,0
one,MOB,two,ORBl,antero,0
one,MOB,one,MOp,antero,0
one,MOB,two,MOp,antero,0
one,MOB,one,MOs,antero,0
one,MOB,two,MOs,antero,0
one,MOB,one,SSp,antero,0
one,MOB,two,SSp,antero,0
one,MOB,one,SSs,antero,0
one,MOB,two,SSs,antero,0
one,MOB,one,PTLp,antero,0
one,MOB,two,PTLp,antero,0
one,MOB,one,PERI,antero,0
one,MOB,two,PERI,antero,0
one,MOB,one,ECT,antero,0
one,MOB,two,ECT,antero,0
one,MOB,one,TEa,antero,0
one,MOB,two,TEa,antero,0
one,MOB,one,AUDv,antero,0
one,MOB,two,AUDv,antero,0
one,MOB,one,AUDp,antero,0
one,MOB,two,AUDp,antero,0
one,MOB,one,AUDd,antero,0
one,MOB,two,AUDd,antero,0
one,MOB,one,AUDpo,antero,0
one,MOB,two,AUDpo,antero,0
one,MOB,one,VISrl,antero,0
one,MOB,two,VISrl,antero,0
one,MOB,one,VISal,retro,0
one,MOB,two,VISal,antero,0
one,MOB,one,VISlla,antero,0
one,MOB,two,VISlla,antero,0
one,MOB,one,VISll,antero,0
one,MOB,two,VISll,antero,0
one,MOB,one,VISli,antero,0
one,MOB,two,VISli,antero,0
one,MOB,one,VISlm,antero,0
one,MOB,two,VISlm,antero,0
one,MOB,one,VISpl,antero,0
one,MOB,two,VISpl,antero,0
one,MOB,one,VISp,retro,0
one,MOB,two,VISp,retro,0
one,MOB,one,VISam,retro,0
one,MOB,two,VISam,retro,0
one,MOB,one,VISpm,antero,0
one,MOB,two,VISpm,antero,0
one,MOB,one,NLOT3,antero,0
one,MOB,two,NLOT3,antero,0
one,MOB,one,BMAa,antero,0
one,MOB,two,BMAa,antero,0
one,MOB,one,BMAp,antero,0
one,MOB,two,BMAp,antero,0
one,MOB,one,BLAa,antero,0
one,MOB,two,BLAa,antero,0
one,MOB,one,BLAp,retro,0
one,MOB,two,BLAp,antero,0
one,MOB,one,LA,retro,0
one,MOB,two,LA,antero,0
one,MOB,one,PA,retro,0
one,MOB,two,PA,retro,0
one,MOB,one,EPv,antero,0
one,MOB,two,EPv,antero,0
one,MOB,one,EPd,antero,0
one,MOB,two,EPd,antero,0
one,MOB,one,CLA,retro,0
one,MOB,two,CLA,antero,0
one,MOB,one,6b,antero,0
one,MOB,two,6b,antero,0
one,AOB,one,MOB,antero,2
one,AOB,two,MOB,retro,0
one,AOB,one,AOB,,0
one,AOB,two,AOB,retro,0
left,AOB,left,AOA,antero,0
